"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Prisma", "JavaScript", "Markdown", "MS SQL", "comment", "blank", "total"
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\.prettierrc", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\README.md", "Markdown", 0, 0, 0, 0, 0, 68, 0, 2, 29, 99
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 33, 0, 0, 1, 1, 35
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\generated\prisma\client.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\generated\prisma\client.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\generated\prisma\default.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\generated\prisma\default.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\generated\prisma\edge.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\generated\prisma\edge.js", "JavaScript", 0, 0, 0, 0, 163, 0, 0, 19, 30, 212
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\generated\prisma\index-browser.js", "JavaScript", 0, 0, 0, 0, 151, 0, 0, 19, 29, 199
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\generated\prisma\index.d.ts", "TypeScript", 0, 0, 3228, 0, 0, 0, 0, 2332, 564, 6124
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\generated\prisma\index.js", "JavaScript", 0, 0, 0, 0, 177, 0, 0, 21, 35, 233
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\generated\prisma\package.json", "JSON", 140, 0, 0, 0, 0, 0, 0, 0, 0, 140
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\generated\prisma\runtime\edge-esm.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\generated\prisma\runtime\edge.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\generated\prisma\runtime\index-browser.d.ts", "TypeScript", 0, 0, 264, 0, 0, 0, 0, 20, 87, 371
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\generated\prisma\runtime\index-browser.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 12, 1, 14
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\generated\prisma\runtime\library.d.ts", "TypeScript", 0, 0, 2300, 0, 0, 0, 0, 846, 459, 3605
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\generated\prisma\runtime\library.js", "JavaScript", 0, 0, 0, 0, 116, 0, 0, 0, 28, 144
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\generated\prisma\runtime\react-native.js", "JavaScript", 0, 0, 0, 0, 67, 0, 0, 0, 14, 81
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\generated\prisma\runtime\wasm.js", "JavaScript", 0, 0, 0, 0, 27, 0, 0, 0, 6, 33
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\generated\prisma\schema.prisma", "Prisma", 0, 0, 0, 38, 0, 0, 0, 4, 7, 49
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\generated\prisma\wasm.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\generated\prisma\wasm.js", "JavaScript", 0, 0, 0, 0, 151, 0, 0, 19, 29, 199
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\nest-cli.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\package-lock.json", "JSON", 13759, 0, 0, 0, 0, 0, 0, 0, 1, 13760
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\package.json", "JSON", 94, 0, 0, 0, 0, 0, 0, 0, 1, 95
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\prisma\migrations\20250506145032_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 59, 16, 22, 97
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\prisma\schema.prisma", "Prisma", 0, 0, 0, 56, 0, 0, 0, 0, 7, 63
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\config\schema.config.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\decorators\match.decorator.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\decorators\public.decorator.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\helpers\imageStorage.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 2, 8, 50
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\helpers\postgresErrorCode.enum.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
